#;Waktu Gempa;Lintang;Bujur;Magnitudo;Kedalaman;Wilayah

37;24-Jun-19 09:48:09 WIB;-2.5;138.59;5.1;26 Km;33 km Tenggara MAMBERAMOTENGAH-PAPUA
38;24-Jun-19 09:43:58 WIB;-2.47;138.66;5.1;29 Km;39 km Tenggara MAMBERAMOTENGAH-PAPUA
39;24-Jun-19 08:28:39 WIB;-2.49;138.66;5.2;29 Km;39 km Tenggara MAMBERAMOTENGAH-PAPUA
40;24-Jun-19 08:05:27 WIB;-2.49;138.74;6.0;15 Km;48 km Tenggara MAMBERAMOTENGAH-PAPUA
41;21-Jun-19 17:27:25 WIB;-8.51;108.69;5.2;10 Km;92 km Tenggara KAB-PANGANDARAN-JABAR
42;20-Jun-19 23:30:00 WIB;-7.57;125.52;5.0;450 Km;134 km TimurLaut ALOR-NTT
43;20-Jun-19 00:24:50 WIB;-2.22;138.6;6.3;10 Km;35 km TimurLaut MAMBERAMOTENGAH-PAPUA
44;18-Jun-19 21:27:19 WIB;-7.66;128.99;5.2;96 Km;143 km TimurLaut MALUKUBRTDAYA
45;17-Jun-19 18:04:01 WIB;-0.36;99;5.3;23 Km;105 km BaratDaya PASAMANBARAT-SUMBAR
46;17-Jun-19 12:43:31 WIB;-8.99;123.04;5.6;117 Km;75 km BaratDaya LEMBATA-NTT
47;17-Jun-19 11:01:50 WIB;-6.91;129.4;5.3;189 Km;225 km TimurLaut MALUKUBRTDAYA
48;17-Jun-19 03:13:54 WIB;-10.41;120.08;5.1;10 Km;16 km BaratDaya KARERA-SUMBATIMUR-NTT
49;15-Jun-19 03:10:53 WIB;-5.89;130.8;6.4;144 Km;216 km BaratDaya MALUKUTENGGARA
50;14-Jun-19 13:54:58 WIB;-11.18;118.52;5.3;10 Km;182 km BaratDaya WANOKAKA-NTT
51;13-Jun-19 19:43:08 WIB;-7.25;103.11;5.3;10 Km;231 km Tenggara ENGGANO-BENGKULU
52;10-Jun-19 23:59:17 WIB;-6.63;131.91;5.8;115 Km;140 km BaratDaya MALUKUTENGGARA
53;09-Jun-19 18:53:54 WIB;-2.3;139.7;5.4;24 Km;58 km TimurLaut SARMI-PAPUA
54;09-Jun-19 16:47:40 WIB;-11.75;115.66;5.2;10 Km;331 km Tenggara NUSADUA-BALI
55;09-Jun-19 16:32:22 WIB;-8.51;108.86;5.7;10 Km;88 km BaratDaya CILACAP-JATENG
56;06-Jun-19 03:41:51 WIB;6.32;124.21;5.5;423 Km;333 km BaratLaut TAHUNA-KEP.SANGIHE-SULUT
57;03-Jun-19 13:26:27 WIB;-6.95;129.56;5.7;228 Km;224 km BaratLaut MALUKUTENGGARABRT
58;03-Jun-19 13:04:35 WIB;0.27;97.61;5.5;22 Km;40 km BaratDaya NIASSELATAN-SUMUT
59;03-Jun-19 12:57:09 WIB;0.32;97.7;6.0;19 Km;30 km BaratDaya NIASSELATAN-SUMUT
60;03-Jun-19 07:42:58 WIB;3.62;96.9;5.0;16 Km;25 km BaratDaya BLANGPIDIE-ACEHBARATDAYA
